Commodity,Date,Quality,Location,Price (per kg)
Dry Chilli,28-Jul,WONDERHOT SINGAL PATTA WITH STEM,Jodhpur(Rajasthan),320
Turmeric,28-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,28-Jul,NIZAMABAD DOUBLE POLISH,Jodhpur(Rajasthan),125
Turmeric,28-Jul,SALAM FALI VASHNAVI 108 BRAND,Jodhpur(Rajasthan),120
Turmeric,28-Jul,NIZAMABAD GATHHA DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,28-Jul,SALEM GATHHA,Jodhpur(Rajasthan),122
Turmeric,28-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,28-Jul,SALEM SINGAL POLICE,Jodhpur(Rajasthan),125
Turmeric,28-Jul,NIZAMABAD GATTHA DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,28-Jul,AADITYA 501 IROD GATTHA,Jodhpur(Rajasthan),125
Cumin seeds,28-Jul,singapor-99.99,Rajkot(Gujarat),604
Cumin seeds,28-Jul,europe quality,Rajkot(Gujarat),612
Cumin seeds,28-Jul,third grade,Rajkot(Gujarat),592
Coriander,28-Jul,Eagle,Rajkot(Gujarat),91
Coriander,28-Jul,Eagle+,Rajkot(Gujarat),95
Coriander,28-Jul,Scooter,Rajkot(Gujarat),82
Coriander,28-Jul,Quality Scooter,Mundra-port(Gujarat),98
Dry Chilli,28-Jul,Dehydrated Red Chilli powder,Shirdi(Maharashtra),250
Cumin seeds,28-Jul,Dehydrated Cumin powder,Shirdi(Maharashtra),360
Turmeric,28-Jul,1%,Shirdi(Maharashtra),90
Turmeric,28-Jul,1.50%,Shirdi(Maharashtra),100
Turmeric,28-Jul,2%,Shirdi(Maharashtra),105
Turmeric,28-Jul,2.50%,Shirdi(Maharashtra),110
Turmeric,28-Jul,3%,Shirdi(Maharashtra),115
Turmeric,28-Jul,4%,Shirdi(Maharashtra),120
Turmeric,28-Jul,5%,Shirdi(Maharashtra),135
Dry Chilli,28-Jul,Kashmiri red chilli,Shirdi(Maharashtra),490
Dry Chilli,28-Jul,Tikhala chilli powder (diamond),Shirdi(Maharashtra),310
Dry Chilli,28-Jul,Tikhala chilli powder (platinum),Shirdi(Maharashtra),290
Cumin seeds,28-Jul,Cumin Seeds,Kolkata(West Bengal),610
Cumin seeds,28-Jul,Cumin Seeds,Kolkata(West Bengal),540
Cumin seeds,28-Jul,A grade,Unjha(Gujarat),630
Cumin seeds,28-Jul,Singapore 99,Kanpur(Uttar Pradesh),705
Coriander,28-Jul,Eagle,Rajkot(Gujarat),84
Coriander,28-Jul,Eagle plus,Rajkot(Gujarat),86
Coriander,28-Jul,Scooter,Rajkot(Gujarat),94
Coriander,28-Jul,Scooter plus,Rajkot(Gujarat),96
Coriander,28-Jul,Single parrot,Rajkot(Gujarat),106
Coriander,28-Jul,Eagle Split,Rajkot(Gujarat),80
Cumin seeds,28-Jul,Extra bold + 5% GST,Unjha(Gujarat),680
Cumin seeds,28-Jul,Diamond + 5% GST,Unjha(Gujarat),655
Cumin seeds,28-Jul,Bombay bold + 5% GST,Unjha(Gujarat),640
Cumin seeds,28-Jul,Jupiter + 5% GST,Unjha(Gujarat),630
Cumin seeds,28-Jul,Vivo + 5% GST,Unjha(Gujarat),620
Coriander,28-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,28-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),84
Coriander,28-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),90
Coriander,28-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),93
Coriander,28-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),109
Coriander,28-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,28-Jul,Split Eagle + 5% GST,Unjha(Gujarat),79
Coriander,28-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),68
Coriander,28-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,28-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),89
Coriander,28-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),98
Coriander,28-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),129
Coriander,28-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-68
Coriander,28-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),68-79
Coriander,28-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,28-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,28-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,28-Jul,Eagle,Ramganj-Mandi(Rajasthan),87
Coriander,28-Jul,Scooter,Ramganj-Mandi(Rajasthan),110
Coriander,28-Jul,Single Parrot,Ramganj-Mandi(Rajasthan),130
Coriander,28-Jul,Eagle Split,Ramganj-Mandi(Rajasthan),78
Coriander,28-Jul,Eagle Machine Clean,Ramganj-Mandi(Rajasthan),90
Coriander,28-Jul,Scooter Machine Clean,Ramganj-Mandi(Rajasthan),115
Cumin seeds,28-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,28-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,28-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,28-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,28-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,28-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,28-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Turmeric,29-Jul,Turmeric Finger Selum,Nanded(Maharashtra),160
Turmeric,29-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),150
Turmeric,29-Jul,Turmeric powder best quality,Baroda(Gujarat),100
Dry Chilli,29-Jul,Chilli powder,Baroda(Gujarat),280
Dry Chilli,29-Jul,Chilli flake,Baroda(Gujarat),290
Turmeric,29-Jul,Turmeric finger,Baroda(Gujarat),110
Coriander,29-Jul,Coriander seeds,Baroda(Gujarat),110
Coriander,29-Jul,Coriander powder,Baroda(Gujarat),100
Cumin seeds,29-Jul,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,29-Jul,Cumin Seeds Powder,Baroda(Gujarat),400
Dry Chilli,29-Jul,saniya deluxe,Jodhpur(Rajasthan),250
Dry Chilli,29-Jul,Dry Chilli Powder,Malad East,280
Turmeric,29-Jul,Turmeric Powder,Malad East,150
Coriander,29-Jul,Coriander Powder,Malad East,170
Dry Chilli,29-Jul,Kashmiri Mirch Powder,Malad East,730
Dry Chilli,29-Jul,Bedgi Mirch,Malad East,540
Dry Chilli,29-Jul,Kashmiri Mirch,Malad East,650
Dry Chilli,29-Jul,Lavangi Mirch,Malad East,260
Coriander,29-Jul,Dhaniya(Coriander),Malad East,140
Coriander,29-Jul,"Coriander Seeds Eagle,GST & Freight extra at actual",Pratapgarh(Rajasthan),75
Coriander,29-Jul,"Coriander Seeds Badami,GST & Freight extra at actual",Pratapgarh(Rajasthan),67
Cumin seeds,29-Jul,Singapore 99,Pratapgarh(Rajasthan),628
Turmeric,29-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),125
Dry Chilli,29-Jul,"Dry Red Chilli with stem,Deluxe Quality",Sangli(Maharashtra),250
Dry Chilli,29-Jul,SANIYA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),260
Dry Chilli,29-Jul,SANIYA SUPER DELUX STEMLESS,Jodhpur(Rajasthan),320
Dry Chilli,29-Jul,REVA SUPER DELUX WITH STEAM,Jodhpur(Rajasthan),290
Dry Chilli,29-Jul,WONDERHOT PLAIN DOUBLE PATTA DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,29-Jul,WONDERHOT SINGAL PATTA WITH STEM,Jodhpur(Rajasthan),320
Turmeric,29-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,29-Jul,NIZAMABAD DOUBLE POLISH,Jodhpur(Rajasthan),125
Turmeric,29-Jul,SALAM FALI VASHNAVI 108 BRAND,Jodhpur(Rajasthan),120
Turmeric,29-Jul,NIZAMABAD GATHHA DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,29-Jul,SALEM GATHHA,Jodhpur(Rajasthan),122
Turmeric,29-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,29-Jul,SALEM SINGAL POLICE,Jodhpur(Rajasthan),125
Turmeric,29-Jul,NIZAMABAD GATTHA DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,29-Jul,AADITYA 501 IROD GATTHA,Jodhpur(Rajasthan),125
Cumin seeds,29-Jul,singapor-99.99,Rajkot(Gujarat),604
Cumin seeds,29-Jul,europe quality,Rajkot(Gujarat),612
Cumin seeds,29-Jul,third grade,Rajkot(Gujarat),592
Coriander,29-Jul,Eagle,Rajkot(Gujarat),91
Coriander,29-Jul,Eagle+,Rajkot(Gujarat),95
Coriander,29-Jul,Scooter,Rajkot(Gujarat),82
Coriander,29-Jul,Quality Scooter,Mundra-port(Gujarat),98
Dry Chilli,29-Jul,Dehydrated Red Chilli powder,Shirdi(Maharashtra),250
Cumin seeds,29-Jul,Dehydrated Cumin powder,Shirdi(Maharashtra),360
Turmeric,29-Jul,1%,Shirdi(Maharashtra),90
Turmeric,29-Jul,1.50%,Shirdi(Maharashtra),100
Turmeric,29-Jul,2%,Shirdi(Maharashtra),105
Turmeric,29-Jul,2.50%,Shirdi(Maharashtra),110
Turmeric,29-Jul,3%,Shirdi(Maharashtra),115
Turmeric,29-Jul,4%,Shirdi(Maharashtra),120
Turmeric,29-Jul,5%,Shirdi(Maharashtra),135
Dry Chilli,29-Jul,Kashmiri red chilli,Shirdi(Maharashtra),490
Dry Chilli,29-Jul,Tikhala chilli powder (diamond),Shirdi(Maharashtra),310
Dry Chilli,29-Jul,Tikhala chilli powder (platinum),Shirdi(Maharashtra),290
Cumin seeds,29-Jul,Cumin Seeds,Kolkata(West Bengal),610
Cumin seeds,29-Jul,Cumin Seeds,Kolkata(West Bengal),540
Cumin seeds,29-Jul,A grade,Unjha(Gujarat),630
Cumin seeds,29-Jul,Singapore 99,Kanpur(Uttar Pradesh),705
Coriander,29-Jul,Eagle,Rajkot(Gujarat),84
Coriander,29-Jul,Eagle plus,Rajkot(Gujarat),86
Coriander,29-Jul,Scooter,Rajkot(Gujarat),94
Coriander,29-Jul,Scooter plus,Rajkot(Gujarat),96
Coriander,29-Jul,Single parrot,Rajkot(Gujarat),106
Coriander,29-Jul,Eagle Split,Rajkot(Gujarat),80
Cumin seeds,29-Jul,Extra bold + 5% GST,Unjha(Gujarat),675
Cumin seeds,29-Jul,Diamond + 5% GST,Unjha(Gujarat),650
Cumin seeds,29-Jul,Bombay bold + 5% GST,Unjha(Gujarat),635
Cumin seeds,29-Jul,Jupiter + 5% GST,Unjha(Gujarat),625
Cumin seeds,29-Jul,Vivo + 5% GST,Unjha(Gujarat),615
Coriander,29-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,29-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),84
Coriander,29-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),90
Coriander,29-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),93
Coriander,29-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),109
Coriander,29-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,29-Jul,Split Eagle + 5% GST,Unjha(Gujarat),89
Coriander,29-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),98
Coriander,29-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,29-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),89
Coriander,29-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),98
Coriander,29-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),129
Coriander,29-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-68
Coriander,29-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),68-79
Coriander,29-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,29-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,29-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,29-Jul,Eagle,Ramganj-Mandi(Rajasthan),87
Coriander,29-Jul,Scooter,Ramganj-Mandi(Rajasthan),110
Coriander,29-Jul,Single Parrot,Ramganj-Mandi(Rajasthan),130
Coriander,29-Jul,Eagle Split,Ramganj-Mandi(Rajasthan),78
Coriander,29-Jul,Eagle Machine Clean,Ramganj-Mandi(Rajasthan),90
Coriander,29-Jul,Scooter Machine Clean,Ramganj-Mandi(Rajasthan),115
Cumin seeds,29-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,29-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,29-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,29-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,29-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,29-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,29-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Turmeric,31-Jul,Turmeric Finger Selum,Nanded(Maharashtra),160
Turmeric,31-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),150
Coriander,31-Jul,Quality Scooter,Mundra-port(Gujarat),100
Dry Chilli,31-Jul,Dry Chilli Powder,Malad East,280
Turmeric,31-Jul,Turmeric Powder,Malad East,150
Coriander,31-Jul,Coriander Powder,Malad East,170
Dry Chilli,31-Jul,Kashmiri Mirch Powder,Malad East,730
Dry Chilli,31-Jul,Bedgi Mirch,Malad East,540
Dry Chilli,31-Jul,Kashmiri Mirch,Malad East,650
Dry Chilli,31-Jul,Lavangi Mirch,Malad East,260
Coriander,31-Jul,Dhaniya(Coriander),Malad East,140
Cumin seeds,31-Jul,Singapore 99,Kanpur(Uttar Pradesh),700
Turmeric,31-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),125
Cumin seeds,31-Jul,Cumin Seeds,Kolkata(West Bengal),610
Cumin seeds,31-Jul,Cumin Seeds,Kolkata(West Bengal),540
Cumin seeds,31-Jul,A grade,Unjha(Gujarat),630
Cumin seeds,31-Jul,Extra bold + 5% GST,Unjha(Gujarat),675
Cumin seeds,31-Jul,Diamond + 5% GST,Unjha(Gujarat),645
Cumin seeds,31-Jul,Bombay bold + 5% GST,Unjha(Gujarat),630
Cumin seeds,31-Jul,Jupiter + 5% GST,Unjha(Gujarat),620
Cumin seeds,31-Jul,Vivo + 5% GST,Unjha(Gujarat),610
Coriander,31-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,31-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),85
Coriander,31-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),91
Coriander,31-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),94
Coriander,31-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),110
Coriander,31-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,31-Jul,Split Eagle + 5% GST,Unjha(Gujarat),89
Coriander,31-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),98
Coriander,31-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,31-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),90
Coriander,31-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),100
Coriander,31-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),130
Coriander,31-Jul,Eagle,Rajkot(Gujarat),84
Coriander,31-Jul,Eagle plus,Rajkot(Gujarat),86
Coriander,31-Jul,Scooter,Rajkot(Gujarat),94
Coriander,31-Jul,Scooter plus,Rajkot(Gujarat),96
Coriander,31-Jul,Single parrot,Rajkot(Gujarat),106
Coriander,31-Jul,Eagle Split,Rajkot(Gujarat),80
Cumin seeds,31-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,31-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,31-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,31-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,31-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,31-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,31-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Turmeric,31-Jul,Turmeric powder best quality,Baroda(Gujarat),100
Dry Chilli,31-Jul,Chilli powder,Baroda(Gujarat),280
Dry Chilli,31-Jul,Chilli flake,Baroda(Gujarat),290
Turmeric,31-Jul,Turmeric finger,Baroda(Gujarat),110
Coriander,31-Jul,Coriander seeds,Baroda(Gujarat),110
Coriander,31-Jul,Coriander powder,Baroda(Gujarat),100
Cumin seeds,31-Jul,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,31-Jul,Cumin Seeds Powder,Baroda(Gujarat),400
Dry Chilli,31-Jul,saniya deluxe,Jodhpur(Rajasthan),250
Turmeric,31-Jul,Selam Finger,Orissa,133
Coriander,31-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-71
Coriander,31-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),71-80
Coriander,31-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,31-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,31-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,31-Jul,Eagle,Ramganj-Mandi(Rajasthan),90
Coriander,31-Jul,Scooter,Ramganj-Mandi(Rajasthan),110
Dry Chilli,31-Jul,Teja,Orissa,238
Coriander,9-Aug,"Coriander Seeds Eagle,GST & Freight extra at actual",Pratapgarh(Rajasthan),78
Coriander,9-Aug,"Coriander Seeds Badami,GST & Freight extra at actual",Pratapgarh(Rajasthan),68
Cumin seeds,9-Aug,Singapore 99,Pratapgarh(Rajasthan),620
Cumin seeds,9-Aug,Singapore 99,Kanpur(Uttar Pradesh),710
Cumin seeds,9-Aug,A grade,Unjha(Gujarat),630
Cumin seeds,9-Aug,Singapore 99,Unjha(Gujarat),637
Cumin seeds,9-Aug,Extra bold + 5% GST,Unjha(Gujarat),698
Cumin seeds,9-Aug,Diamond + 5% GST,Unjha(Gujarat),668
Cumin seeds,9-Aug,Bombay bold + 5% GST,Unjha(Gujarat),653
Cumin seeds,9-Aug,Jupiter + 5% GST,Unjha(Gujarat),643
Cumin seeds,9-Aug,Vivo + 5% GST,Unjha(Gujarat),633
Coriander,9-Aug,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,9-Aug,Bold Eagle plus + 5% GST,Unjha(Gujarat),85
Coriander,9-Aug,Bold Scooter + 5% GST,Unjha(Gujarat),91
Coriander,9-Aug,Bold Scooter plus + 5% GST,Unjha(Gujarat),94
Coriander,9-Aug,Bold Diamond + 5% GST,Unjha(Gujarat),110
Coriander,9-Aug,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,9-Aug,Split Eagle + 5% GST,Unjha(Gujarat),89
Coriander,9-Aug,Split Eagle plus + 5% GST,Unjha(Gujarat),98
Coriander,9-Aug,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,9-Aug,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),90
Coriander,9-Aug,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),100
Coriander,9-Aug,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),130
Dry Chilli,9-Aug,Dry Chilli Powder,Malad East,280
Turmeric,9-Aug,Turmeric Powder,Malad East,150
Coriander,9-Aug,Coriander Powder,Malad East,170
Dry Chilli,9-Aug,Kashmiri Mirch Powder,Malad East,730
Dry Chilli,9-Aug,Bedgi Mirch,Malad East,540
Dry Chilli,9-Aug,Kashmiri Mirch,Malad East,650
Dry Chilli,9-Aug,Lavangi Mirch,Malad East,260
Coriander,9-Aug,Akha Rai,Malad East,130
Coriander,9-Aug,Dhaniya(Coriander),Malad East,140
Coriander,9-Aug,Eagle Split,Gondal (Gujarat),76
Coriander,9-Aug,Eagle,Gondal (Gujarat),82
Coriander,9-Aug,Eagle Plus,Gondal (Gujarat),83
Coriander,9-Aug,Scooter,Gondal (Gujarat),93
Coriander,9-Aug,Scooter Plus,Gondal (Gujarat),95
Coriander,9-Aug,Single Parrot,Gondal (Gujarat),99
Dry Chilli,9-Aug,Chilli Powder (Kashmiri),Deesa(Gujarat),500-800
Dry Chilli,9-Aug,Chilli Powder (A Grade),Deesa(Gujarat),300
Dry Chilli,9-Aug,Chilli Powder (B Grade),Deesa(Gujarat),290
Dry Chilli,9-Aug,Chilli Powder (C Grade),Deesa(Gujarat),250
Dry Chilli,9-Aug,Chilli Powder (D Grade),Deesa(Gujarat),160
Dry Chilli,9-Aug,Chilli Powder (Russia Grade),Deesa(Gujarat),120-140
Dry Chilli,9-Aug,Chilli Flakes (Low),Deesa(Gujarat),230
Dry Chilli,9-Aug,Chilli Flakes (Medium),Deesa(Gujarat),260
Dry Chilli,9-Aug,Chilli Flakes (Reguler),Deesa(Gujarat),290
Dry Chilli,9-Aug,Chilli Flakes (Deluxe),Deesa(Gujarat),330
Cumin seeds,9-Aug,Cumin Powder (Premium),Deesa(Gujarat),690
Cumin seeds,9-Aug,Cumin Powder (Medium),Deesa(Gujarat),580
Cumin seeds,9-Aug,Cumin Powder (Regular),Deesa(Gujarat),525
Cumin seeds,9-Aug,Cumin Powder (Low),Deesa(Gujarat),400-490
Coriander,9-Aug,Coriander Powder (Premium),Deesa(Gujarat),135
Coriander,9-Aug,Coriander Powder (Medium),Deesa(Gujarat),115
Coriander,9-Aug,Coriander Powder (Regular),Deesa(Gujarat),100
Coriander,9-Aug,Coriander Powder (Low),Deesa(Gujarat),70-90
Turmeric,9-Aug,1 % CURCUMIN,Deesa(Gujarat),100
Turmeric,9-Aug,1.5% CURCUMIN,Deesa(Gujarat),111
Turmeric,9-Aug,2% CURCUMIN,Deesa(Gujarat),124
Turmeric,9-Aug,2.5% CURCUMIN,Deesa(Gujarat),135
Turmeric,9-Aug,3% CURCUMIN,Deesa(Gujarat),149
Coriander,9-Aug,Badami,Kota(Rajasthan),75
Turmeric,9-Aug,"Single Polished, around 5% CURCUMIN",Behrampur(Odisha),81
Turmeric,9-Aug,"Double Polished, around 5% CURCUMIN",Behrampur(Odisha),84
Turmeric,9-Aug,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),128
Dry Chilli,9-Aug,Chilli flake,Baroda(Gujarat),290
Turmeric,9-Aug,Turmeric finger,Baroda(Gujarat),110
Coriander,9-Aug,Coriander seeds,Baroda(Gujarat),110
Coriander,9-Aug,Coriander powder,Baroda(Gujarat),100
Cumin seeds,9-Aug,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,9-Aug,Cumin Seeds Powder,Baroda(Gujarat),400
Dry Chilli,9-Aug,Teja S-17 with Stem,Guntur,230
Dry Chilli,9-Aug,Teja S-17 with Stem (deluxe),Raipur,270
Dry Chilli,9-Aug,Kashmiri red chilli,Shirdi(Maharashtra),490
Dry Chilli,9-Aug,Tikhala chilli powder (diamond),Shirdi(Maharashtra),310
Dry Chilli,9-Aug,Tikhala chilli powder (platinum),Shirdi(Maharashtra),290
Dry Chilli,9-Aug,Red Chilli powder,Shirdi(Maharashtra),290
Cumin seeds,9-Aug,Cumin powder,Shirdi(Maharashtra),380
Turmeric,9-Aug,1%,Shirdi(Maharashtra),95
Turmeric,9-Aug,1.50%,Shirdi(Maharashtra),105
Turmeric,9-Aug,2%,Shirdi(Maharashtra),110
Turmeric,9-Aug,2.50%,Shirdi(Maharashtra),115
Turmeric,9-Aug,3%,Shirdi(Maharashtra),120
Turmeric,9-Aug,4%,Shirdi(Maharashtra),125
Turmeric,9-Aug,5%,Shirdi(Maharashtra),140
Dry Chilli,9-Aug,SANIYA SUP DEL.WITH STEM,Jodhpur(Rajasthan),260
Dry Chilli,9-Aug,SANIYA SUP.DEL.WITHOUT STEM,Jodhpur(Rajasthan),320
Dry Chilli,9-Aug,REVA SUP.DEL.WITH STEM,Jodhpur(Rajasthan),290
Dry Chilli,9-Aug,WONDERHOT DOUBLE PATTA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,9-Aug,WONDERHOT SINGAL PATTA DELUX WITH STEM,Jodhpur(Rajasthan),320
Turmeric,9-Aug,Haldi Nizamabad gulab brand,Jodhpur(Rajasthan),150
Turmeric,9-Aug,Haldi Salem singal polish,Jodhpur(Rajasthan),145
Turmeric,9-Aug,Haldi GATHHA police,Jodhpur(Rajasthan),140